"BehaviorSpace results (NetLogo 6.1.1)"
"final-1.nlogo"
"experiment"
"06/06/2021 15:32:30:509 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","marketing-effort","coef_of_social_influence","network","product-quality","social-influence?","fraction-of-greener","number-of-consumers","[step]","ticks"
"8","0.8","0.5","random","0.5","true","0.26","1000","1080","1080"
"4","0.8","0.3","random","0.5","true","0.26","1000","1124","1124"
"7","0.6","0.5","random","0.5","true","0.26","1000","1245","1245"
"3","0.6","0.3","random","0.5","true","0.26","1000","1292","1292"
"6","0.4","0.5","random","0.5","true","0.26","1000","1518","1518"
"2","0.4","0.3","random","0.5","true","0.26","1000","1660","1660"
"5","0.2","0.5","random","0.5","true","0.26","1000","2438","2438"
"12","0.8","0.7","random","0.5","true","0.26","1000","1100","1100"
"11","0.6","0.7","random","0.5","true","0.26","1000","1205","1205"
"10","0.4","0.7","random","0.5","true","0.26","1000","1505","1505"
"9","0.2","0.7","random","0.5","true","0.26","1000","2004","2004"
"14","0.4","0.3","small-world","0.5","true","0.26","1000","1659","1659"
"15","0.6","0.3","small-world","0.5","true","0.26","1000","1279","1279"
"16","0.8","0.3","small-world","0.5","true","0.26","1000","1112","1112"
"13","0.2","0.3","small-world","0.5","true","0.26","1000","2761","2761"
"20","0.8","0.5","small-world","0.5","true","0.26","1000","1093","1093"
"19","0.6","0.5","small-world","0.5","true","0.26","1000","1223","1223"
"18","0.4","0.5","small-world","0.5","true","0.26","1000","1628","1628"
"17","0.2","0.5","small-world","0.5","true","0.26","1000","2268","2268"
"23","0.6","0.7","small-world","0.5","true","0.26","1000","1255","1255"
"22","0.4","0.7","small-world","0.5","true","0.26","1000","1585","1585"
"24","0.8","0.7","small-world","0.5","true","0.26","1000","1086","1086"
"21","0.2","0.7","small-world","0.5","true","0.26","1000","2343","2343"
"26","0.4","0.3","preferential-attachment","0.5","true","0.26","1000","1611","1611"
"27","0.6","0.3","preferential-attachment","0.5","true","0.26","1000","1246","1246"
